CD_CLIENTE;SEGMENTO;FAIXA_FATURAMENTO;MARCA_TOTVS;MODALIDADE_COMERCIALIZADA;REGIAO;RESPOSTA_NPS_RELACIONAL;Tempo_Relacionamento_media;RECEITA_RECORRENTE_media;QTDE_TICKETS_media;CLIENTE_PRIME_un;cluster
TDCDEM;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;1542.0;0.0;0.0;;1
TDCGAV;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;1435.25;0.0;0.0;;1
TDCEOX;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;2688.0;0.0;0.0;;1
TDCC5S;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;1425.0;0.0;0.0;;1
TDCETL;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;1835.0;0.0;0.0;;1
TDCCIY;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;1277.0;0.0;0.0;;1
TDCEXM;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;1192.0;0.0;0.0;;1
TDCGTV;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;491.0;0.0;0.0;;1
TDCCK4;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;1110.0;0.0;0.0;;1
TDCC7W;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;427.0;0.0;0.0;;1
TDCGXM;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;487.0;0.0;0.0;;1
TDCFCE;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;1381.0;0.0;0.0;;1
TDCCOJ;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;967.0;0.0;0.0;;1
TDCCJI;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;3412.0;0.0;0.0;;1
TDCFCM;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;828.4;0.0;0.0;;1
TDCCQC;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;1242.0;0.0;0.0;;1
TDCCQI;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;1150.0;0.0;0.0;;1
TDCDO6;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;962.0;0.0;0.0;;1
TDCDTD;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;1327.0;0.0;0.0;;1
TDCD0J;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;3395.0;0.0;0.0;;1
TDCH5Q;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;626.0;0.0;0.0;;1
TDCF4A;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;1269.0;0.0;0.0;;1
TDCDFS;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;1607.0;0.0;0.0;;1
TDCFDG;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;921.0;0.0;0.0;;1
TDCFFY;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;1876.0;0.0;0.0;;1
TDCDQB;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;470.0;0.0;0.0;;1
TDCFNM;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;1463.0;0.0;0.0;;1
TDCC5C;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;882.0;0.0;0.0;;1
TDCEDL;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;3761.0;0.0;0.0;;1
TDCCLD;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;3921.0;0.0;0.0;;1
TDCDZH;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;1591.0;0.0;0.0;;1
TDCC8T;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;529.0;0.0;0.0;;1
TDCD17;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;603.0;0.0;0.0;;1
TDCEP1;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;1991.0;0.0;0.0;;1
TDCE5E;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;2586.0;0.0;0.0;;1
TDCD2F;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;583.0;0.0;0.0;;1
TDCG7I;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;764.5;0.0;0.0;;1
TDCFYJ;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;4004.0;0.0;0.0;;1
TDCGCF;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;4151.0;0.0;0.0;;1
TDCCKD;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;564.0;0.0;0.0;;1
TDCEB8;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;508.0;0.0;0.0;;1
TDCCNU;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;1996.0;0.0;0.0;;1
TDCGLW;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;1314.0;0.0;0.0;;1
TDCECD;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;931.0;0.0;0.0;;1
TDCE7W;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;1275.0;0.0;0.0;;1
TDCGMM;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;708.0;0.0;0.0;;1
TDCEA2;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;1401.0;0.0;0.0;;1
TDCEJL;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;1646.0;0.0;0.0;;1
TDCEDN;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;1312.0;0.0;0.0;;1
TDCGWE;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;548.0;0.0;0.0;;1
TDCEJT;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;1681.0;0.0;0.0;;1
TDCGXD;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;1338.0;0.0;0.0;;1
TDCGOG;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;1752.0;0.0;0.0;;1
TDCF0V;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;1211.0;0.0;0.0;;1
TDCH0U;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;1057.0;0.0;0.0;;1
TDCH0E;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;570.0;0.0;0.0;;1
TDCHEC;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;333.0;0.0;0.0;;1
TDCF7G;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;1191.0;0.0;0.0;;1
TDCH83;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;515.0;0.0;0.0;;1
TDCG7X;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;2108.0;0.0;0.0;;1
TDCCP4;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;1857.0;0.0;0.0;;1
TDCD7G;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;435.0;0.0;0.0;;1
TDCGCK;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;2116.0;0.0;0.0;;1
TDCFKH;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;966.0;0.0;0.0;;1
TDCDD1;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;494.0;0.0;0.0;;1
TDCDEC;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;539.0;0.0;0.0;;1
TDCD20;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;1232.0;0.0;0.0;;1
TDCGXG;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;3094.0;0.0;0.0;;1
TDCFNX;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;1362.0;0.0;0.0;;1
TDCFOY;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;1228.0;0.0;0.0;;1
TDCCGJ;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;737.0;0.0;0.0;;1
TDCDJ8;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;1592.0;0.0;0.0;;1
TDCDMD;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;436.0;0.0;0.0;;1
TDCHB5;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;326.0;0.0;0.0;;1
TDCD1U;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;1395.0;0.0;0.0;;1
TDCD2A;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;813.0;0.0;0.0;;1
TDCEAM;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;1744.0;0.0;0.0;;1
TDCDEE;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;2464.0;0.0;0.0;;1
TDCDST;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;476.0;0.0;0.0;;1
TDCEO1;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;1429.0;0.0;0.0;;1
TDCE1L;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;1380.0;0.0;0.0;;1
TDCGMG;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;737.0;0.0;0.0;;1
TDCDTX;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;826.0;0.0;0.0;;1
TDCE4M;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;1381.0;0.0;0.0;;1
TDCDUQ;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;863.0;0.0;0.0;;1
TDCEA0;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;1066.0;0.0;0.0;;1
TDCDXR;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;568.0;0.0;0.0;;1
TDCH1Y;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;436.0;0.0;0.0;;1
TDCE0X;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;875.0;0.0;0.0;;1
TDCF6V;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;2048.0;0.0;0.0;;1
TDCDX2;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;1339.0;0.0;0.0;;1
TDCE2T;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;1240.0;0.0;0.0;;1
TDCDXI;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;1507.0;0.0;0.0;;1
TDCFE1;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;1120.0;0.0;0.0;;1
TDCE25;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;434.0;0.0;0.0;;1
TDCCFC;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;420.0;0.0;0.0;;1
TDCD9N;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;2956.0;0.0;0.0;;1
TDCEEN;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;560.0;0.0;0.0;;1
TDCELM;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;737.0;0.0;0.0;;1
TDCEGP;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;464.0;0.0;0.0;;1
TDCFZY;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;1439.0;0.0;0.0;;1
TDCDRM;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;4161.0;0.0;0.0;;1
TDCEOU;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;744.0;0.0;0.0;;1
TDCDH2;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;1450.0;0.0;0.0;;1
TDCEU3;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;886.0;0.0;0.0;;1
TDCEV7;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;751.0;0.0;0.0;;1
TDCEK9;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;1303.0;0.0;0.0;;1
TDCEBF;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;387.0;0.0;0.0;;1
TDCF18;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;494.0;0.0;0.0;;1
TDCEEP;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;448.0;0.0;0.0;;1
TDCF1I;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;829.0;0.0;0.0;;1
TDCFNF;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;660.0;0.0;0.0;;1
TDCFSJ;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;1088.0;0.0;0.0;;1
TDCEH6;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;1248.0;0.0;0.0;;1
TDCFUO;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;839.0;0.0;0.0;;1
TDCGGA;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;3065.0;0.0;0.0;;1
TDCFPB;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;626.0;0.0;0.0;;1
TDCA06;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;814.0;0.0;0.0;;1
TDCG17;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;2699.0;0.0;0.0;;1
TDCFFJ;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;401.0;0.0;0.0;;1
TDCH4G;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;1453.0;0.0;0.0;;1
TDCG7Q;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;994.0;0.0;0.0;;1
TDCG94;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;2191.0;0.0;0.0;;1
TDCGAE;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;718.0;0.0;0.0;;1
TDCCJH;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;403.0;0.0;0.0;;1
TDCCJQ;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;2271.0;0.0;0.0;;1
TDCCLV;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;2144.0;0.0;0.0;;1
TDCG0B;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;1501.0;0.0;0.0;;1
TDCGOH;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;598.0;0.0;0.0;;1
TDCC5T;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;1422.0;0.0;0.0;;1
TDCG2A;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;639.0;0.0;0.0;;1
TDCG50;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;1022.0;0.0;0.0;;1
TDCC2O;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;1668.0;0.0;0.0;;1
TDCD85;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;1296.0;0.0;0.0;;1
TDCGWH;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;751.0;0.0;0.0;;1
TDCFYR;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;1229.0;0.0;0.0;;1
TDCGX1;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;771.0;0.0;0.0;;1
TDCGDN;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;2261.0;0.0;0.0;;1
TDCGZQ;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;744.0;0.0;0.0;;1
TDCGFY;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;1304.0;0.0;0.0;;1
TDCH1K;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;981.0;0.0;0.0;;1
TDCH3P;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;1057.0;0.0;0.0;;1
TDCDSH;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;1039.0;0.0;0.0;;1
TDCDMS;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;1134.0;0.0;0.0;;1
TDCH7J;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;736.0;0.0;0.0;;1
TDCH5B;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;696.0;0.0;0.0;;1
TDCDNY;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;1128.0;0.0;0.0;;1
TDCCUF;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;1928.0;0.0;0.0;;1
TDCCE2;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;1016.0;0.0;0.0;;1
TDCCPC;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;1635.0;0.0;0.0;;1
TDCF5T;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;2396.0;0.0;0.0;;1
TDCF8A;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;2845.0;0.0;0.0;;1
TDCHBX;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;351.0;0.0;0.0;;1
TDCGJH;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;1304.0;0.0;0.0;;1
TDCCRT;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;728.0;0.0;0.0;;1
TDCCNB;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;1100.0;0.0;0.0;;1
TDCD7B;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;990.0;0.0;0.0;;1
TDCGKT;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;1565.0;0.0;0.0;;1
TDCD0L;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;2741.0;0.0;0.0;;1
TDCDBW;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;1928.0;0.0;0.0;;1
TDCEGW;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;1241.0;0.0;0.0;;1
TDCFZE;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;921.0;0.0;0.0;;1
TDCGUD;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;1429.0;0.0;0.0;;1
TDCEBG;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;381.0;0.0;0.0;;1
TDCG9B;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;876.0;0.0;0.0;;1
TDCEWF;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;1737.0;0.0;0.0;;1
TDCFUJ;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;1361.0;0.0;0.0;;1
TDCF1A;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;4693.0;0.0;0.0;;1
TDCFZS;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;1565.0;0.0;0.0;;1
TDCD6Y;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;1422.0;0.0;0.0;;1
TDCGWU;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;365.0;0.0;0.0;;1
TDCCLP;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;1463.0;0.0;0.0;;1
TDCF6S;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;568.0;0.0;0.0;;1
TDCD7L;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;2711.0;0.0;0.0;;1
TDCHBT;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;315.0;0.0;0.0;;1
TDCH3Z;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;2544.0;0.0;0.0;;1
TDCC4A;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;486.0;0.0;0.0;;1
TDCDSO;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;732.0;0.0;0.0;;1
TDCGKZ;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;2597.0;0.0;0.0;;1
TDCDXQ;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;596.0;0.0;0.0;;1
TDCFTL;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;1134.0;0.0;0.0;;1
TDCEG4;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;1725.0;0.0;0.0;;1
TDCFYC;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;774.2;0.0;0.0;;1
TDCCRG;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;1408.0;0.0;0.0;;1
TDCCXL;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;2102.0;0.0;0.0;;1
TDCH8W;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;2031.0;0.0;0.0;;1
TDCEIC;SERVICOS;Sem Informações de Faturamento;RH - CORE;;Sudeste;0.0;1494.0;0.0;0.0;;1
